Taxa	Bin	SF_Jan12_13	SF_Jan12_21	SF_Jan12_24	SF_Jan12_4_1	SF_Jan12_8_1	SF_Jul11_13	SF_Jul11_21	SF_Jul11_24	SF_Jul11_4_1	SF_Jul11_8_1	SF_May12_13	SF_May12_21	SF_May12_24	SF_May12_4_1	SF_May12_8_1	SF_Oct11_13	SF_Oct11_21	SF_Oct11_24	SF_Oct11_4_1	SF_Oct11_8_1
c__Alphaproteobacteria	13_Jan_SF_Bin10	6.674266083	0.152385199	0.213738198	0.16330496	1.120840447	0.112057172	0.180095395	0.208656646	0.151923605	0.346176507	0.114335584	0.225600947	0.31313935	0.202015456	0.402808416	0.223670094	0.175419833	0.231523019	0.135137168	1.048284846
c__Alphaproteobacteria	13_July_SF_Bin6	1.97855351	0.656574074	0.458203964	0.547381624	0.710520572	7.946422469	0.428749849	0.350328666	0.389547671	1.444670898	10.3682108	0.499394404	0.494439262	0.405204493	0.249740375	2.166051191	0.462675995	0.425386997	0.557619637	0.572187446
c__Alphaproteobacteria	13_May_SF_Bin13	2.724934922	0.64280434	0.514451817	0.679779107	0.449336704	5.413551219	0.512470292	0.418445712	0.533552407	0.899435482	9.022194343	0.553393689	0.599770511	0.545656126	0.292216226	2.89033042	0.516714587	0.494978804	0.709156732	0.453258509
c__Alphaproteobacteria	13_May_SF_Bin34	1.993902945	0.561418193	0.504156522	0.616980381	0.573931725	6.162027844	0.410270708	0.368644679	0.430715434	0.981676473	8.956970724	0.465943505	0.51711229	0.436874729	0.194604284	2.272617368	0.427855447	0.459687267	0.631703982	0.444846458
c__Alphaproteobacteria	13_May_SF_Bin40	1.628154113	0.695754233	0.728293923	0.590845559	0.393624197	5.248909614	0.4192903	0.472758131	0.403812928	0.613152882	6.334112674	0.528901086	0.652305569	0.429284192	0.169111752	1.886083168	0.463096399	0.611565466	0.610427973	0.380893653
c__Alphaproteobacteria	13_May_SF_Bin5	1.571963545	0.723520739	0.560816985	0.91563404	0.839273128	3.645531438	0.49990462	0.442118647	0.610263623	2.152613417	5.854615326	0.59632499	0.615995872	0.649035496	0.226689249	1.575731536	0.508101144	0.549246295	0.981119145	1.471575335
c__Alphaproteobacteria	13_May_SF_Bin81	2.107957988	0.77680835	0.572017488	0.779909443	0.732936242	6.225284644	0.514078713	0.448974005	0.532178866	2.145187112	7.025559959	0.57666787	0.61976615	0.554551416	0.195679917	2.506459363	0.516854163	0.538060786	0.828734666	0.562083267
c__Alphaproteobacteria	21_Jan_SF_Bin10	0.181263418	1.70530243	1.727178995	0.229273439	0.108418152	0.186435885	0.885203257	1.596144461	0.155405903	0.182715101	0.200687745	1.213743279	1.266689084	0.164542957	0.05815743	0.196438488	1.11349134	1.974161507	0.242289269	0.113073207
c__Alphaproteobacteria	21_Jan_SF_Bin12	0.333387508	3.972747679	0.392740054	0.380270788	0.216422831	0.332374351	0.893200861	0.298083757	0.273682323	0.301417436	0.352815902	1.293577592	0.408517452	0.289282268	0.177299225	0.353199877	1.231500426	0.372408594	0.378417361	0.218433203
c__Alphaproteobacteria	21_Jan_SF_Bin22	0.438154698	6.524276036	0.440708256	0.546268748	0.301392918	0.442358744	1.343302416	0.361609058	0.377186479	0.465117968	0.451806454	2.28814699	0.483613023	0.389852588	0.151992432	0.475529376	2.84632077	0.437976275	0.558649847	0.314769113
c__Alphaproteobacteria	21_Jan_SF_Bin24	0.402658962	4.728495079	0.391771193	0.487649089	0.253014068	0.422969066	1.046284284	0.314251205	0.338385681	0.3880498	0.455750251	1.329341856	0.439899954	0.358084676	0.151655368	0.422012031	1.227952513	0.376696323	0.49568118	0.253315341
c__Alphaproteobacteria	21_Jan_SF_Bin55	0.406007283	5.978679721	0.417202962	0.498818845	0.256764413	0.445646735	1.548907958	0.326503185	0.354166676	0.390670872	0.450401007	2.209392511	0.437495128	0.366048884	0.157351711	0.425948359	1.874234938	0.392118886	0.507058472	0.265624477
c__Alphaproteobacteria	21_Jan_SF_Bin60	0.376761031	4.492736774	0.374912312	0.450347858	0.242321399	0.396125555	0.929671045	0.302685328	0.31714961	0.362112129	0.404697138	1.531431077	0.418001901	0.338176781	0.157768076	0.398212076	1.491649861	0.3612022	0.453000629	0.247085579
c__Alphaproteobacteria	21_Jan_SF_Bin9	0.335248783	5.100665652	0.519150053	0.346371907	0.218822204	0.339665433	1.694961897	0.336461698	0.263122899	0.28890391	0.340820349	2.584045107	0.466485455	0.299609095	0.229247079	0.355604851	2.209853717	0.444673672	0.341327886	0.214323577
c__Alphaproteobacteria	21_May_SF_Bin33	0.170201583	1.4384348	1.471329621	0.2119408	0.102845068	0.171973103	0.790768184	1.396344095	0.144242117	0.170412592	0.188739571	1.256088452	1.12247019	0.154733345	0.055849469	0.185942811	0.975717325	1.729376755	0.231370185	0.105353054
c__Alphaproteobacteria	24_Jan_SF_Bin23	0.192932163	1.579085693	1.898647107	0.234179001	0.116003528	0.188829482	0.909510522	1.645270627	0.156941375	0.184611266	0.20026592	1.256088072	1.322195554	0.167312855	0.060195651	0.220900225	1.121576515	2.036682158	0.247666899	0.119197454
c__Alphaproteobacteria	24_July_SF_Bin17	0.182958771	1.485569754	1.617542607	0.223954515	0.109352551	0.178917692	0.851542841	1.731076363	0.150774909	0.177697672	0.192714537	1.18069294	1.230028527	0.160402555	0.058249923	0.207432014	1.064110532	1.91002528	0.236905513	0.113488838
c__Alphaproteobacteria	24_Oct_SF_Bin19	0.19620863	1.640804129	1.765230681	0.237306281	0.11902247	0.191835195	0.955584711	1.710997325	0.158132393	0.189061176	0.204302947	1.304042197	1.35372063	0.170226684	0.060236429	0.225029532	1.166272697	2.218982806	0.250541722	0.121312584
c__Alphaproteobacteria	8_1_Jan_SF_Bin18	3.278476711	0.154616732	0.214378742	0.168656441	17.00010278	0.114747405	0.183802208	0.216502352	0.154605354	0.283342738	0.115177994	0.232554692	0.327295957	0.219181167	0.495445598	0.253338518	0.178919436	0.243473377	0.132997974	0.476882527
c__Alphaproteobacteria	8_1_Jan_SF_Bin60	0.415984641	0.319316117	0.330917647	0.378834479	6.288146401	0.350822549	0.316181002	0.274110188	0.313804903	3.558470268	0.359540301	0.319831171	0.393520656	0.266933973	1.151179241	0.495757646	0.336791702	0.314937571	0.370583482	4.900686232
c__Alphaproteobacteria	8_1_Jan_SF_Bin88	0.255009725	0.196185385	0.196602934	0.23904566	3.381420021	0.293106776	0.170161634	0.178649659	0.182126164	5.080494949	0.301926419	0.20894763	0.236787048	0.170807874	0.519217427	0.255525214	0.170705935	0.220611646	0.211204125	1.667537753
c__Alphaproteobacteria	8_1_Jan_SF_Bin95	0.452353701	0.175710379	0.218036967	0.187191292	25.72125395	0.141505086	0.191849179	0.217229712	0.176337686	3.096724831	0.144568243	0.229941278	0.30800527	0.204115522	2.783298965	0.232116752	0.188115775	0.236319854	0.157079992	10.80940471
c__Alphaproteobacteria	8_1_July_SF_Bin3	0.37287414	0.337407633	0.328667395	0.386031199	3.594267502	0.314040126	0.295856135	0.278417883	0.349666794	9.587613308	0.326932479	0.330039704	0.405473945	0.285443405	0.891161521	0.408587931	0.309636108	0.328320104	0.370813901	4.272538622
c__Alphaproteobacteria	8_1_July_SF_Bin31	0.279697668	0.223293595	0.21544997	0.260072577	3.3127082	0.314696205	0.191583944	0.198993252	0.186252626	7.005670337	0.332352917	0.230420445	0.267227762	0.192369576	0.642118383	0.27510787	0.187471273	0.242512032	0.227339657	2.012129357
