Mapping	Order	Site	Month	MonthNum	Site_Month	Year	Date	Dist	Temp	Sal	NO3	NH4	porosity	Ctot	Ntot	C/N	Al	Cl	Mg	Na	P	S	Cu	Fe	Mn	Pb
4_1_July	1	4_1	Jul	7	4_1_7	2011	7/13/11	12.67	20.18	0.23	10.65	2.64	0.42	0.286	0.02	14.17	14.52	0.02	2.01	0.48	0.074	0.046	61.4	65320	765	14.8
8_1_July	4	8_1	Jul	7	8_1_7	2011	7/13/11	32.58	19.6	2.71	10.89	2.1	0.41	0.46	0.046	9.85	9.51	0.29	2.86	1.95	0.076	0.233	32.4	58950	934	10.6
13_July	8	13	Jul	7	13_7	2011	7/13/11	53.7	18.36	15.94	12.74	2.67	0.25	0.091	0.054	1.67	7.28	0.78	2.74	3.83	0.049	0.096	10.7	47830	621	9.5
21_July	16	21	Jul	7	21_7	2011	7/13/11	85.24	15.58	27.64	11.29	7.07	0.25	0.245	0.024	10.52	8.63	1.17	2.7	3.16	0.046	0.387	21.5	37280	370	14.3
24_July	12	24	Jul	7	24_7	2011	7/13/11	95.71	16.63	25.93	11.68	6.11	0.35	0.529	0.052	10.03	6.85	0.96	1.96	1.93	0.077	0.313	30.5	36480	448	19.5
4_1_Oct	2	4_1	Oct	10	4_1_10	2011	10/19/11	12.67	17.82	0.37	13.91	5.79	0.28	0.365	0.023	16.15	9.89	0.1	3.02	1.46	0.079	0.189	30.8	55940	657	11.3
8_1_Oct	7	8_1	Oct	10	8_1_10	2011	10/19/11	32.58	18.13	13.59	13.54	2.48	0.43	1.036	0.101	10.27	10.21	0.86	3.03	2.75	0.07	0.223	43.8	53490	778	12.9
13_Oct	11	13	Oct	10	13_10	2011	10/19/11	53.7	18.01	24.49	9.54	4.2	0.33	0.078	0.018	4.38	8.83	1.33	2.48	3.51	0.076	0.203	32.5	54230	615	18.9
21_Oct	17	21	Oct	10	21_10	2011	10/19/11	85.24	18.3	27.79	8.56	4.97	0.3	0.159	0.025	6.19	6.75	1.82	1.93	3.27	0.041	0.387	28.5	38210	396	18.4
24_Oct	18	24	Oct	10	24_10	2011	10/19/11	95.71	18.18	28.03	16.26	6.3	0.4	0.704	0.067	10.54	7.63	1.11	2.32	2.06	0.085	0.357	33.4	41560	639	19.5
4_1_Jan	6	4_1	Jan	1	4_1_1	2012	1/11/12	95.71	8.65	8.07	10.43	6.06	0.42	0.725	0.035	20.7	13.04	0.28	2.24	1.05	0.07	0.085	43.4	60190	739	13.7
8_1_Jan	9	8_1	Jan	1	8_1_1	2012	1/11/12	12.67	10.18	16.7	9.7	2.62	0.42	0.934	0.067	14.02	10.31	0.64	3.02	2.44	0.082	0.236	36.9	55540	1182	10
13_Jan	13	13	Jan	1	13_1	2012	1/11/12	32.58	11.25	26.24	7.41	6.62	0.46	2.364	0.109	21.69	7.31	1.75	2.07	2.78	0.071	0.359	62	46880	816	20.9
21_Jan	20	21	Jan	1	21_1	2012	1/11/12	53.7	11.19	30.41	5.9	9.25	0.24	0.035	0.004	8.04	5.11	1.57	1.36	4.57	0.055	0.117	7.4	18700	329	12.3
24_Jan	19	24	Jan	1	24_1	2012	1/11/12	85.24	11.22	29.34	6.67	7.73	0.35	0.525	0.044	12.11	7.31	0.94	2.16	2.08	0.067	0.26	25.8	36930	423	15.7
4_1_May	3	4_1	May	5	4_1_5	2012	5/22/12	95.71	20.17	0.55	20.79	3.31	0.39	0.539	0.028	19.18	13.87	0.05	1.84	0.67	0.069	0.062	49.3	56670	640	14.3
8_1_May	5	8_1	May	5	8_1_5	2012	5/22/12	12.67	18.95	7.5	18.48	5.34	0.41	1.411	0.083	16.99	8.44	0.75	2.38	1.66	0.091	0.372	45	65350	1652	15.2
13_May	10	13	May	5	13_5	2012	5/22/12	32.58	18.37	20.15	22.94	3.54	0.23	0.043	0.017	2.53	7.02	0.87	2.94	3.84	0.045	0.093	13.7	49860	606	11.1
21_May	15	21	May	5	21_5	2012	5/22/12	53.7	15.98	27.24	17.38	3.32	0.29	0.408	0.033	12.51	6.81	0.99	2.01	1.87	0.055	0.3	20.3	39820	623	16.1
24_May	14	24	May	5	24_5	2012	5/22/12	85.24	16.07	27.16	16.07	7.53	0.34	0.743	0.055	13.4	9.87	0.79	3.18	2.33	0.066	0.351	28.3	40180	461	16.6
