Month	Site	Salinity	subject_id	sat	aprA	aprB	dsrA	dsrB	dsrC	dsrD	dsrE	dsrF	dsrH	qmoA	qmoB	qmoC	dmsB_2	dmsC	dmdA	hydA	hydB	hydD	hydG	fccA	fccB	soxA	soxB	soxC	soxX	soxY	soxZ	sqr	doxD	phsA
Jan	4.1	LS	SF_Jan12_4_1	20	10	9	9	6	23	1	6	6	6	4	3	4	22	28	2	1	1	1	0	8	0	7	8	7	6	9	6	40	6	2
May	4.1	LS	SF_May12_4_1	18	10	7	12	9	27	4	6	5	5	7	6	5	27	30	1	0	1	0	0	6	1	8	9	4	7	9	7	38	4	12
July	4.1	LS	SF_Jul11_4_1	18	10	8	15	16	29	4	15	12	13	10	12	10	36	40	0	6	10	5	1	3	2	3	5	2	4	5	5	18	4	7
Oct	4.1	LS	SF_Oct11_4_1	17	12	8	9	9	24	1	7	7	7	2	2	2	18	23	0	1	1	1	0	8	0	10	10	5	9	11	9	39	6	6
Jan	8.1	MS	SF_Jan12_8_1	40	29	22	24	25	92	1	26	23	21	9	8	8	61	54	4	4	8	5	1	8	10	33	31	4	26	39	39	27	5	4
May	8.1	LS	SF_May12_8_1	7	3	3	5	4	11	0	6	5	5	2	2	2	8	12	0	0	1	0	0	1	1	2	2	0	4	7	6	7	0	0
July	8.1	LS	SF_Jul11_8_1	38	19	14	16	16	58	1	15	16	15	11	10	9	31	39	2	1	2	1	0	7	6	16	19	4	15	18	16	36	4	4
Oct	8.1	MS	SF_Oct11_8_1	36	26	19	23	22	64	1	22	20	17	15	16	14	61	57	0	5	11	5	2	5	6	15	21	5	17	25	22	24	3	2
Jan	13	HS	SF_Jan12_13	24	13	9	20	14	19	7	7	6	6	8	11	9	36	44	0	4	4	3	0	5	4	4	5	0	2	4	5	23	3	6
May	13	MS	SF_May12_13	45	27	22	10	10	37	0	10	11	11	7	7	7	64	68	9	3	3	1	0	14	8	13	16	13	11	19	18	44	10	2
July	13	MS	SF_Jul11_13	26	16	11	10	9	21	0	10	10	9	1	3	3	29	30	8	1	2	1	0	10	5	8	11	7	7	10	9	12	4	2
Oct	13	MS	SF_Oct11_13	16	11	6	10	6	14	5	2	3	3	8	8	11	20	28	0	2	1	1	0	4	1	1	2	1	0	2	1	12	2	3
Jan	21	HS	SF_Jan12_21	39	21	20	11	9	34	0	12	10	8	3	6	6	43	44	12	0	1	0	0	13	8	14	16	11	16	30	22	34	6	6
May	21	HS	SF_May12_21	17	6	7	5	6	17	3	3	3	3	5	7	7	22	33	0	1	2	1	0	8	2	5	4	2	5	5	3	21	2	2
July	21	HS	SF_Jul11_21	12	5	5	2	2	4	2	1	1	1	3	3	4	12	15	0	0	0	0	0	7	1	0	0	0	1	0	0	11	2	2
Oct	21	HS	SF_Oct11_21	15	6	5	7	6	9	4	1	2	1	5	7	8	19	27	4	0	0	0	0	7	4	2	2	0	4	4	4	14	0	2
Jan	24	HS	SF_Jan12_24	18	15	10	9	8	16	4	3	3	2	6	12	9	32	34	0	0	0	0	0	4	3	6	5	2	7	6	5	9	0	0
May	24	HS	SF_May12_24	13	8	6	4	4	13	1	2	2	2	4	5	8	11	14	0	2	1	0	0	1	1	6	3	0	5	5	5	12	2	0
July	24	MS	SF_Jul11_24	5	4	2	4	3	8	1	3	4	3	2	3	4	10	11	0	0	0	0	0	3	1	7	5	1	5	5	4	8	0	0
Oct	24	HS	SF_Oct11_24	18	8	5	5	7	12	2	4	4	4	5	4	5	18	22	0	2	1	0	0	5	3	7	6	4	7	7	6	16	1	0
