	N2 fixation	Nitrite oxidation	Nitrate reduction	Nitrite reduction to ammonia	Nitrite reduction	Nitric oxide reduction	Nitrous oxide reduction	Anammox	Sulfide oxidation	Sulfite reduction	Sulfur oxidation	Sulfur reduction	Thiosulfate oxidation	Sulfate reduction	Thiosulfate disproportionation
	anfDKG||nifDK||vnfDKG||nifH	nxrAB	napAB||narGH	nrfADH||nirBD	nirKS||octR	norBC	nosDZ	hzoA||hzsA	fccB||sqr	dsrD	dsrAB||sor||sdo	sreABC	soxBCY	aprA||sat||cysCN	phsA
13_Jan_SF_Bin1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
13_Jan_SF_Bin10	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0
13_Jan_SF_Bin12	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0
13_Jan_SF_Bin13	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0
13_Jan_SF_Bin14	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1
13_Jan_SF_Bin2	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1
13_Jan_SF_Bin21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
13_Jan_SF_Bin23	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
13_Jan_SF_Bin29	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
13_Jan_SF_Bin30	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0
13_Jan_SF_Bin31	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0
13_Jan_SF_Bin32	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1
13_Jan_SF_Bin36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13_Jan_SF_Bin38	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
13_Jan_SF_Bin40	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
13_Jan_SF_Bin42	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0
13_Jan_SF_Bin43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13_Jan_SF_Bin44	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0
13_Jan_SF_Bin46	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0
13_Jan_SF_Bin49	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0
13_Jan_SF_Bin5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
13_Jan_SF_Bin52	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
13_Jan_SF_Bin53	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
13_Jan_SF_Bin54	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0
13_Jan_SF_Bin58	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
13_Jan_SF_Bin61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13_Jan_SF_Bin62	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0
13_Jan_SF_Bin63	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
13_Jan_SF_Bin8	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0
13_July_SF_Bin1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1
13_July_SF_Bin10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
13_July_SF_Bin11	0	0	1	1	0	1	0	0	0	0	1	0	1	1	0
13_July_SF_Bin18	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0
13_July_SF_Bin19	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0
13_July_SF_Bin2	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0
13_July_SF_Bin23_1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
13_July_SF_Bin23_2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
13_July_SF_Bin24	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0
13_July_SF_Bin26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
13_July_SF_Bin27	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
13_July_SF_Bin28	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
13_July_SF_Bin30	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
13_July_SF_Bin31	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1
13_July_SF_Bin32	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
13_July_SF_Bin33	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
13_July_SF_Bin34	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
13_July_SF_Bin35	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0
