KO	Gene	Pathway
KO:K16950	asrA	Anaerobic sulfite reduction
KO:K16951	asrB	Anaerobic sulfite reduction
KO:K00958	sat	"Dissimilatory sulfate reduction							"
KO:K00394	aprA	"Dissimilatory sulfate reduction							"
KO:K00395	aprB	"Dissimilatory sulfate reduction							"
KO:K11180	dsrA	"Dissimilatory sulfate reduction							"
KO:K11181	dsrB	"Dissimilatory sulfate reduction							"
dsrC.hmm	dsrC	"Dissimilatory sulfate reduction							"
dsrD.hmm	dsrD	"Dissimilatory sulfate reduction							"
KO:K07235	dsrE	"Dissimilatory sulfate reduction							"
KO:K07236	dsrF	"Dissimilatory sulfate reduction							"
KO:K07237	dsrH	"Dissimilatory sulfate reduction							"
KO:K16885	qmoA	"Dissimilatory sulfate reduction							"
KO:K16886	qmoB	"Dissimilatory sulfate reduction							"
KO:K16887	qmoC	"Dissimilatory sulfate reduction							"
KO:K07306	dmsA	DMSO
KO:K07307	dmsB	DMSO
KO:K00184	dmsB_2	DMSO
KO:K00185	dmsC	DMSO
KO:K16953	dddL	DMSP
KO:K17486	dmdA	DMSP
KO:K16952	sor	Elemental sulfur
KO:K16968	msmA	Methane-sulfonate
KO:K16969	msmB	Methane-sulfonate
KO:K17993	hydA	Sulfhydrogenase
KO:K17996	hydB	Sulfhydrogenase
KO:K17994	hydD	Sulfhydrogenase
KO:K17995	hydG	Sulfhydrogenase
KO:K17230	fccA	Sulfide oxidation
KO:K17229	fccB	Sulfide oxidation
KO:K17222	soxA	"Sulfur oxidation							"
KO:K17224	soxB	"Sulfur oxidation							"
KO:K17225	soxC	"Sulfur oxidation							"
KO:K17223	soxX	"Sulfur oxidation							"
KO:K17226	soxY	"Sulfur oxidation							"
KO:K17227	soxZ	"Sulfur oxidation							"
KO:K17218	sqr	"Sulfur oxidation							"
KO:K08357	ttrA	Tetrathionate reduction
KO:K08358	ttrB	Tetrathionate reduction
KO:K08359	ttrC	Tetrathionate reduction
KO:K02439	glpE	Thiosulfate
KO:K16937	doxD	Thiosulfate oxidation
KO:K08352	phsA	Thiosulfate reduction
K00372	nasA	Assimilatory nitrate reduction
COG0155	nirA	Assimilatory nitrate reduction
K04561	norB	Denitrification
COG3256	norB	Denitrification
PF00115	norB	Denitrification
K02305	norC	Denitrification
K00376	nosZ	Denitrification
COG4263	nosZ	Denitrification
K00368	nirK	Denitrification
K15864	nirS	Denitrification
K02567	napA	Denitrification/Dissimilatory nitrate reduction
K02568	napB	Denitrification/Dissimilatory nitrate reduction
COG3043	napB	Denitrification/Dissimilatory nitrate reduction
PF03892	napB	Denitrification/Dissimilatory nitrate reduction
K00370	"narG, narZ, nxrA"	Denitrification/Dissimilatory nitrate reduction/Nitrification
COG5013	"narG, narZ, nxrA"	Denitrification/Dissimilatory nitrate reduction/Nitrification
K00371	"narH, narY, nxrB"	Denitrification/Dissimilatory nitrate reduction/Nitrification
COG1140	"narH, narY, nxrB"	Denitrification/Dissimilatory nitrate reduction/Nitrification
K00362	nirB	Dissimilatory nitrate reduction
K00363	nirD	Dissimilatory nitrate reduction
PF13806	nirD	Dissimilatory nitrate reduction
K03385	nrfA	Dissimilatory nitrate reduction
COG3303	nrfA	Dissimilatory nitrate reduction
PF02335	nrfA	Dissimilatory nitrate reduction
K15876	nrfH	Dissimilatory nitrate reduction
K02586	nifD	N fixation
COG2710	nifD	N fixation
PF00148	nifD	N fixation
K02588	nifH	N fixation
COG1348	nifH	N fixation
PF00142	nifH	N fixation
K02591	nifK	N fixation
K10535	hao	Nitrification
K10944	pmoA-amoA	Nitrification
PF02461	pmoA-amoA	Nitrification
K10945	pmoB-amoB	Nitrification
PF04744	pmoB-amoB	Nitrification
K10946	pmoC-amoC	Nitrification
PF04896	pmoC-amoC	Nitrification
