KO	Gene	Pathway	Pathway2
KO:K00958	sat	sat-aprAB	"Dissimilatory sulfate reduction							"
KO:K00394	aprA	sat-aprAB	"Dissimilatory sulfate reduction							"
KO:K00395	aprB	sat-aprAB	"Dissimilatory sulfate reduction							"
KO:K11180	dsrA	dsrABC	"Dissimilatory sulfate reduction							"
KO:K11181	dsrB	dsrABC	"Dissimilatory sulfate reduction							"
dsrC.hmm	dsrC	dsrABC	"Dissimilatory sulfate reduction							"
dsrD.hmm	dsrD	dsrD	"Dissimilatory sulfate reduction							"
KO:K07235	dsrE	dsrEFH	"Dissimilatory sulfate reduction							"
KO:K07236	dsrF	dsrEFH	"Dissimilatory sulfate reduction							"
KO:K07237	dsrH	dsrEFH	"Dissimilatory sulfate reduction							"
KO:K16885	qmoA	qmoABC	"Dissimilatory sulfate reduction							"
KO:K16886	qmoB	qmoABC	"Dissimilatory sulfate reduction							"
KO:K16887	qmoC	qmoABC	"Dissimilatory sulfate reduction							"
KO:K17230	fccA	fccAB	Sulfide oxidation
KO:K17229	fccB	fccAB	Sulfide oxidation
KO:K17222	soxA	soxAX	"Sulfur oxidation							"
KO:K17224	soxB	soxB	"Sulfur oxidation							"
KO:K17225	soxC	soxCD	"Sulfur oxidation							"
KO:K17223	soxX	soxAX	"Sulfur oxidation							"
KO:K17226	soxY	soxYZ	"Sulfur oxidation							"
KO:K17227	soxZ	soxYZ	"Sulfur oxidation							"
KO:K17218	sqr	sqr	"Sulfur oxidation							"
KO:K16937	doxD	doxD	Thiosulfate oxidation
KO:K08352	phsA	phsA	Thiosulfate reduction
K04561	norB	norBC	Denitrification
K02305	norC	norBC	Denitrification
K00376	nosZ	nosZ	Denitrification
K00368	nirK	nirKS	Denitrification
K15864	nirS	nirKS	Denitrification
K02567	napA	napAB	Denitrification/Dissimilatory nitrate reduction
K02568	napB	napAB	Denitrification/Dissimilatory nitrate reduction
K00370	"narG, narZ, nxrA"	"narGH, nxrAB"	Denitrification/Dissimilatory nitrate reduction/Nitrification
K00371	"narH, narY, nxrB"	"narGH, nxrAB"	Denitrification/Dissimilatory nitrate reduction/Nitrification
K00362	nirB	nirBD	Dissimilatory nitrate reduction
K00363	nirD	nirBD	Dissimilatory nitrate reduction
K03385	nrfA	nrfAH	Dissimilatory nitrate reduction
K15876	nrfH	nrfAH	Dissimilatory nitrate reduction
K02586	nifD	nifDKH	N fixation
K02588	nifH	nifDKH	N fixation
K02591	nifK	nifDKH	N fixation
K10535	hao	hao	Nitrification
K10944	pmoA-amoA	pmoABC-amoABC	Nitrification
PF02461	pmoA-amoA	pmoABC-amoABC	Nitrification
K10945	pmoB-amoB	pmoABC-amoABC	Nitrification
PF04744	pmoB-amoB	pmoABC-amoABC	Nitrification
K10946	pmoC-amoC	pmoABC-amoABC	Nitrification
PF04896	pmoC-amoC	pmoABC-amoABC	Nitrification
