Bin	Site	Domain	Phylum	Class	Order	Family	Genus	Species
13_July_SF_Bin26	13_July	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
13_July_SF_Bin37	13_July	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__	g__	s__
13_May_SF_Bin12	13_May	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__	g__	s__
13_May_SF_Bin61	13_May	d__Bacteria	p__Acidobacteriota	c__Mor1	o__QHYA01	f__	g__	s__
13_May_SF_Bin86	13_May	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__	g__	s__
13_May_SF_Bin9	13_May	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
21_Jan_SF_Bin44	21_Jan	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__Mor1	g__	s__
21_Jan_SF_Bin62	21_Jan	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__	g__	s__
21_May_SF_Bin2	21_May	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__Mor1	g__	s__
21_May_SF_Bin25	21_May	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__Thermoanaerobaculales	f__FEB-10	g__	s__
4_1_Jan_SF_Bin21	4_1_Jan	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__	s__
13_July_SF_Bin34	13_July	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__ZC4RG35	g__SZUA-217	s__
13_July_SF_Bin43	13_July	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__UBA4744	g__UBA4744	s__
13_July_SF_Bin48	13_July	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__	g__	s__
13_May_SF_Bin24	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__SZUA-232	g__	s__
13_May_SF_Bin27	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__UBA4744	g__UBA4744	s__
13_May_SF_Bin35	13_May	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Ga0077560	f__Ga0077560	g__	s__
13_May_SF_Bin37	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__ZC4RG35	g__SZUA-217	s__
13_May_SF_Bin46	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__	g__	s__
13_May_SF_Bin57	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__SZUA-35	g__	s__
13_May_SF_Bin59	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__SZUA-232	g__	s__
13_May_SF_Bin62	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__SZUA-35	g__	s__
13_May_SF_Bin73	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__	g__	s__
13_May_SF_Bin8	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__SZUA-232	g__	s__
13_May_SF_Bin87	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__	g__	s__
13_May_SF_Bin97	13_May	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__	g__	s__
21_Jan_SF_Bin35	21_Jan	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__	g__	s__
21_Jan_SF_Bin50	21_Jan	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__SZUA-35	g__	s__
21_Jan_SF_Bin53	21_Jan	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__	g__	s__
21_Jan_SF_Bin67	21_Jan	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__	g__	s__
21_Jan_SF_Bin72	21_Jan	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Ga0077560	f__Ga0077560	g__	s__
21_Jan_SF_Bin8	21_Jan	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__	g__	s__
24_May_SF_Bin5	24_May	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Nanopelagicales	f__	g__	s__
24_Oct_SF_Bin4	24_Oct	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Nanopelagicales	f__	g__	s__
4_1_Jan_SF_Bin18	4_1_Jan	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__20CM-4-69-9	f__20CM-4-69-9	g__	s__
