Site	p__	p__Acidobacteriota	p__Actinobacteriota	p__Armatimonadota	p__Asgardarchaeota	p__Bacteroidota	p__Bdellovibrionota	p__Binatota	p__Campylobacterota	p__Chloroflexota	p__Chloroflexota_A	p__Crenarchaeota	p__Desulfobacterota	p__Desulfuromonadota	p__Gemmatimonadota	p__GWC2-55-46	p__Hadarchaeota	p__Krumholzibacteriota	p__MBNT15	p__Myxococcota	p__Nanoarchaeota	p__Nitrospinota	p__Nitrospirota	p__Patescibacteria	p__Planctomycetota	p__Proteobacteria	p__SAR324	p__Spirochaetota	p__Tectomicrobia	p__Thermoplasmatota	p__Verrucomicrobiota	p__WOR-3	p__Zixibacteria
13_Jan	0	0	0	0	0	2	0	0	0	0	0	3	8	1	1	0	0	0	0	0	1	0	0	1	0	10	0	0	0	1	1	0	0
13_July	0	2	3	0	0	0	0	1	0	0	0	4	0	0	3	0	0	0	1	1	0	0	1	0	0	16	0	0	0	0	0	0	0
13_May	0	4	12	0	0	3	0	0	0	0	0	6	0	0	7	0	0	2	2	3	0	1	0	0	0	25	0	0	0	0	0	0	0
13_Oct	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
21_Jan	0	2	6	0	0	3	0	0	0	1	0	5	0	0	1	0	0	0	0	4	0	0	0	0	3	24	0	0	1	0	0	0	0
21_July	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0
21_May	0	2	0	0	0	1	0	0	0	0	0	3	4	1	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0
21_Oct	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0
24_Jan	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1
24_July	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1
24_May	0	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
24_Oct	0	0	1	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	1
4_1_Jan	0	1	8	0	0	3	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0	8	0	0	16	0	0	0	0	0	0	0
4_1_July	0	4	1	1	1	0	0	0	0	4	0	1	2	0	0	1	0	0	0	0	0	1	7	1	2	5	3	3	0	1	0	1	2
4_1_May	0	0	8	0	0	1	0	0	0	2	1	0	4	0	3	0	0	1	0	1	0	0	7	1	0	14	0	0	0	0	0	0	0
4_1_Oct	0	0	6	0	0	1	0	0	0	0	1	0	0	0	3	0	0	1	0	1	0	0	6	0	0	19	0	0	0	0	0	0	0
8_1_Jan	1	3	2	0	1	5	0	0	1	1	0	17	0	0	0	0	1	0	0	0	0	2	2	1	0	29	0	0	0	0	0	1	0
8_1_July	0	0	3	0	0	0	0	0	0	1	0	5	1	0	2	0	0	1	0	2	0	2	6	1	0	19	1	0	0	0	0	0	0
8_1_May	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0
8_1_Oct	1	3	0	0	0	3	1	0	0	3	0	19	0	0	2	0	1	0	0	1	0	3	6	1	0	21	1	4	0	0	0	1	0
