Site	NumReads	NumMAGReads	NumMAGReads_x100	Percent
SF_Jan12_USGS_13	180351100	14121046	1412104600	7.829753187
SF_Jan12_USGS_21	219648272	43582982	4358298200	19.8421693
SF_Jan12_USGS_24	170266534	10268043	1026804300	6.030570282
SF_Jan12_USGS_4_1	140529442	35205210	3520521000	25.05183931
SF_Jan12_USGS_8_1	149332256	33565348	3356534800	22.47695769
SF_Jul11_USGS_13	127684840	18897361	1889736100	14.80000367
SF_Jul11_USGS_21	155675462	8257107	825710700	5.304051707
SF_Jul11_USGS_24	149837048	6084442	608444200	4.060706001
SF_Jul11_USGS_4_1	135081488	25763155	2576315500	19.07230619
SF_Jul11_USGS_8_1	141592032	25540582	2554058200	18.03814921
SF_May12_USGS_13	157546764	38781476	3878147600	24.61585057
SF_May12_USGS_21	175302144	16195056	1619505600	9.23836733
SF_May12_USGS_24	169471582	7791657	779165700	4.597618614
SF_May12_USGS_4_1	177554526	33555752	3355575200	18.8988435
SF_May12_USGS_8_1	181567504	5028853	502885300	2.769687796
SF_Oct11_USGS_13	165983472	9483365	948336500	5.713439348
SF_Oct11_USGS_21	155692610	10934232	1093423200	7.022961462
SF_Oct11_USGS_24	185424656	16002155	1600215500	8.630003876
SF_Oct11_USGS_4_1	147643664	32931036	3293103600	22.30440177
SF_Oct11_USGS_8_1	160714430	33235097	3323509700	20.67959735
