Bin_name	Site
13_Jan_SF_Bin40	13_Jan
13_Jan_SF_Bin52	13_Jan
13_Jan_SF_Bin63	13_Jan
13_Jan_SF_Bin36	13_Jan
13_Jan_SF_Bin61	13_Jan
13_Jan_SF_Bin2	13_Jan
13_Jan_SF_Bin5	13_Jan
13_Jan_SF_Bin31	13_Jan
13_Jan_SF_Bin38	13_Jan
13_Jan_SF_Bin8	13_Jan
13_Jan_SF_Bin30	13_Jan
13_Jan_SF_Bin14	13_Jan
13_Jan_SF_Bin12	13_Jan
13_Jan_SF_Bin49	13_Jan
13_Jan_SF_Bin54	13_Jan
13_Jan_SF_Bin1	13_Jan
13_Jan_SF_Bin53	13_Jan
13_Jan_SF_Bin21	13_Jan
13_Jan_SF_Bin10	13_Jan
13_Jan_SF_Bin62	13_Jan
13_Jan_SF_Bin46	13_Jan
13_Jan_SF_Bin13	13_Jan
13_Jan_SF_Bin23	13_Jan
13_Jan_SF_Bin42	13_Jan
13_Jan_SF_Bin32	13_Jan
13_Jan_SF_Bin58	13_Jan
13_Jan_SF_Bin29	13_Jan
13_Jan_SF_Bin44	13_Jan
13_Jan_SF_Bin43	13_Jan
13_July_SF_Bin39	13_July
13_July_SF_Bin33	13_July
13_July_SF_Bin28	13_July
13_July_SF_Bin30	13_July
13_July_SF_Bin26	13_July
13_July_SF_Bin37	13_July
13_July_SF_Bin48	13_July
13_July_SF_Bin43	13_July
13_July_SF_Bin34	13_July
13_July_SF_Bin2	13_July
13_July_SF_Bin57	13_July
13_July_SF_Bin32	13_July
13_July_SF_Bin5	13_July
13_July_SF_Bin10	13_July
13_July_SF_Bin27	13_July
13_July_SF_Bin24	13_July
13_July_SF_Bin6	13_July
13_July_SF_Bin52	13_July
13_July_SF_Bin36	13_July
13_July_SF_Bin19	13_July
13_July_SF_Bin35	13_July
13_July_SF_Bin40	13_July
13_July_SF_Bin55	13_July
13_July_SF_Bin31	13_July
13_July_SF_Bin1	13_July
13_July_SF_Bin11	13_July
13_July_SF_Bin23_1	13_July
13_July_SF_Bin23_2	13_July
13_July_SF_Bin51	13_July
13_July_SF_Bin18	13_July
13_July_SF_Bin38	13_July
13_July_SF_Bin49	13_July
13_May_SF_Bin54	13_May
13_May_SF_Bin47	13_May
