Genome	Taxonomy	Site	Month	S	C	O	Fe	N
13_Jan_SF_Bin1	Deltaproteobacteria	13	1	0.27	0.1	0.28	0.32	0.45
13_Jan_SF_Bin10	Alphaproteobacteria	13	1	0.47	0.03	0.34	0.54	0.4
13_Jan_SF_Bin12	Deltaproteobacteria	13	1	0.44	0.18	0.4	0.7	0.56
13_Jan_SF_Bin13	Gammaproteobacteria	13	1	0.53	0.05	0.37	0.53	0.47
13_Jan_SF_Bin14	Deltaproteobacteria	13	1	0.57	0.19	0.38	0.49	0.52
13_Jan_SF_Bin2	Bacteroidetes	13	1	0.27	0.04	0.21	0.5	0.48
13_Jan_SF_Bin21	Peregrinibacteria	13	1	0.13	0.01	0.09	0.04	0.08
13_Jan_SF_Bin23	Gammaproteobacteria	13	1	0.18	0.06	0.33	0.33	0.52
13_Jan_SF_Bin29	Gammaproteobacteria	13	1	0.34	0.03	0.31	0.87	0.62
13_Jan_SF_Bin30	Deltaproteobacteria	13	1	0.54	0.14	0.18	0.68	0.49
13_Jan_SF_Bin31	Deltaproteobacteria	13	1	0.54	0.13	0.22	0.61	0.44
13_Jan_SF_Bin32	Gammaproteobacteria	13	1	0.32	0.03	0.28	0.61	0.47
13_Jan_SF_Bin36	Pacearchaeota	13	1	0.19	0.03	0.04	0.02	0.09
13_Jan_SF_Bin38	Deltaproteobacteria	13	1	0.63	0.1	0.28	0.72	0.59
13_Jan_SF_Bin40	Thaumarchaeota	13	1	0.15	0.06	0.37	0.23	0.35
13_Jan_SF_Bin42	Gammaproteobacteria	13	1	0.48	0.09	0.48	0.71	0.58
13_Jan_SF_Bin43	Kiritimatiellaeota	13	1	0.11	0.01	0.12	0.36	0.21
13_Jan_SF_Bin44	Gammaproteobacteria	13	1	0.4	0.07	0.31	0.82	0.63
13_Jan_SF_Bin46	Gammaproteobacteria	13	1	0.23	0.05	0.29	0.84	0.56
13_Jan_SF_Bin49	Deltaproteobacteria	13	1	0.64	0.13	0.36	0.39	0.42
13_Jan_SF_Bin5	Bacteroidetes	13	1	0.08	0.03	0.01	0.41	0.26
13_Jan_SF_Bin52	Thaumarchaeota	13	1	0.17	0.06	0.22	0.26	0.38
13_Jan_SF_Bin53	Gemmatimonadetes	13	1	0.47	0.04	0.28	0.72	0.6
13_Jan_SF_Bin54	Deltaproteobacteria	13	1	0.29	0.13	0.32	0.37	0.36
13_Jan_SF_Bin58	Gammaproteobacteria	13	1	0.46	0.06	0.5	0.77	0.66
13_Jan_SF_Bin61	Thermoplasmata	13	1	0.45	0.15	0.07	0.08	0.32
13_Jan_SF_Bin62	Gammaproteobacteria	13	1	0.56	0.05	0.42	0.71	0.63
13_Jan_SF_Bin63	Thaumarchaeota	13	1	0.09	0.05	0.32	0.26	0.3
13_Jan_SF_Bin8	Deltaproteobacteria	13	1	0.67	0.15	0.2	0.63	0.51
13_July_SF_Bin1	Gammaproteobacteria	13	7	0.47	0.13	0.49	0.93	0.7
13_July_SF_Bin10	Deltaproteobacteria	13	7	0.18	0.05	0.19	0.37	0.43
13_July_SF_Bin11	Gammaproteobacteria	13	7	0.32	0.07	0.42	0.64	0.65
13_July_SF_Bin18	Gammaproteobacteria	13	7	0.57	0.06	0.37	0.72	0.6
13_July_SF_Bin19	Betaproteobacteria	13	7	0.24	0.06	0.44	0.76	0.68
13_July_SF_Bin2	Deltaproteobacteria	13	7	0.26	0.06	0.27	0.62	0.55
13_July_SF_Bin23_1	Gammaproteobacteria	13	7	0.4	0.04	0.48	0.88	0.59
13_July_SF_Bin23_2	Gammaproteobacteria	13	7	0.32	0.06	0.38	0.71	0.47
13_July_SF_Bin24	Nitrospirae	13	7	0.31	0.07	0.36	0.47	0.57
13_July_SF_Bin26	Acidobacteria	13	7	0.27	0.02	0.2	0.69	0.55
13_July_SF_Bin27	Deltaproteobacteria	13	7	0.04	0.07	0.41	0.67	0.68
13_July_SF_Bin28	Thaumarchaeota	13	7	0.19	0.08	0.32	0.25	0.38
13_July_SF_Bin30	Thaumarchaeota	13	7	0.05	0.05	0.34	0.22	0.36
13_July_SF_Bin31	Gammaproteobacteria	13	7	0.75	0.17	0.3	0.71	0.53
13_July_SF_Bin32	Gemmatimonadetes	13	7	0.45	0.04	0.28	0.72	0.63
13_July_SF_Bin33	Thaumarchaeota	13	7	0.19	0.08	0.37	0.25	0.44
13_July_SF_Bin34	Actinobacteria	13	7	0.09	0.02	0.27	0.33	0.5
13_July_SF_Bin35	Gammaproteobacteria	13	7	0.43	0.09	0.37	0.86	0.68
13_July_SF_Bin36	Betaproteobacteria	13	7	0.06	0.04	0.36	0.89	0.57
13_July_SF_Bin37	Acidobacteria	13	7	0.4	0.03	0.18	0.66	0.5
13_July_SF_Bin38	Gammaproteobacteria	13	7	0.34	0.04	0.43	0.87	0.65
13_July_SF_Bin39	Thaumarchaeota	13	7	0.17	0.06	0.2	0.26	0.38
13_July_SF_Bin40	Gammaproteobacteria	13	7	0.4	0.09	0.38	0.8	0.69
13_July_SF_Bin43	Actinobacteria	13	7	0.23	0.03	0.33	0.75	0.61
13_July_SF_Bin48	Actinobacteria	13	7	0.16	0.04	0.15	0.49	0.43
13_July_SF_Bin49	Gammaproteobacteria	13	7	0.62	0.06	0.41	0.88	0.62
13_July_SF_Bin5	Gemmatimonadetes	13	7	0.22	0.02	0.36	0.49	0.58
13_July_SF_Bin51	Gammaproteobacteria	13	7	0.28	0.03	0.36	0.77	0.52
13_July_SF_Bin52	Gammaproteobacteria	13	7	0.52	0.04	0.44	0.82	0.64
13_July_SF_Bin55	Gammaproteobacteria	13	7	0.27	0.05	0.4	0.68	0.58
13_July_SF_Bin57	Gemmatimonadetes	13	7	0.13	0.06	0.19	0.61	0.38
13_July_SF_Bin6	Alphaproteobacteria	13	7	0.07	0.01	0.31	0.48	0.51
13_May_SF_Bin101	Deltaproteobacteria	13	5	0.18	0.05	0.34	0.68	0.52
13_May_SF_Bin102	Deltaproteobacteria	13	5	0.24	0.08	0.39	0.87	0.62
13_May_SF_Bin12	Acidobacteria	13	5	0.41	0.03	0.22	0.41	0.5
13_May_SF_Bin13	Alphaproteobacteria	13	5	0.5	0.06	0.42	0.71	0.69
13_May_SF_Bin18	Delphibacteria	13	5	0.43	0.07	0.18	0.68	0.55
13_May_SF_Bin19	Deltaproteobacteria	13	5	0.34	0.03	0.18	0.52	0.47
13_May_SF_Bin21	Ignavibacteriae	13	5	0.11	0.03	0.07	0.56	0.37
