site	genome	sulfur	carbon	oxygen	iron	nitrogen
13_Jan	13_Jan_SF_Bin1	4.35	8.615	2.998	3.382	9.869
13_Jan	13_Jan_SF_Bin10	7.548	2.862	3.667	5.672	8.812
13_Jan	13_Jan_SF_Bin12	7.071	15.474	4.313	7.354	12.347
13_Jan	13_Jan_SF_Bin13	8.464	4.63	3.944	5.563	10.267
13_Jan	13_Jan_SF_Bin14	9.068	16.559	4.075	5.131	11.376
13_Jan	13_Jan_SF_Bin2	4.298	3.543	2.254	5.232	10.677
13_Jan	13_Jan_SF_Bin21	2.124	0.855	0.912	0.439	1.689
13_Jan	13_Jan_SF_Bin23	2.946	5.43	3.53	3.484	11.47
13_Jan	13_Jan_SF_Bin29	5.371	2.792	3.348	9.067	13.669
13_Jan	13_Jan_SF_Bin30	8.716	12.108	1.907	7.093	10.718
13_Jan	13_Jan_SF_Bin31	8.647	11.484	2.405	6.367	9.771
13_Jan	13_Jan_SF_Bin32	5.126	2.52	2.986	6.39	10.395
13_Jan	13_Jan_SF_Bin36	3.116	2.331	0.394	0.219	1.89
13_Jan	13_Jan_SF_Bin38	10.124	8.74	3.047	7.494	13.058
13_Jan	13_Jan_SF_Bin40	2.474	4.894	3.928	2.435	7.626
13_Jan	13_Jan_SF_Bin42	7.705	8.043	5.163	7.448	12.787
13_Jan	13_Jan_SF_Bin43	1.712	1.262	1.273	3.763	4.567
13_Jan	13_Jan_SF_Bin44	6.335	5.9	3.367	8.539	13.988
13_Jan	13_Jan_SF_Bin46	3.619	4.493	3.059	8.84	12.384
13_Jan	13_Jan_SF_Bin49	10.231	10.932	3.834	4.115	9.176
13_Jan	13_Jan_SF_Bin5	1.25	-0.221	0.094	4.327	5.679
13_Jan	13_Jan_SF_Bin52	2.757	5.356	2.401	2.75	8.442
13_Jan	13_Jan_SF_Bin53	7.548	3.301	3.028	7.539	13.2
13_Jan	13_Jan_SF_Bin54	4.689	11.37	3.392	3.831	8.002
13_Jan	13_Jan_SF_Bin58	7.342	4.896	5.308	8.02	14.471
13_Jan	13_Jan_SF_Bin61	7.269	12.489	0.785	0.817	6.973
13_Jan	13_Jan_SF_Bin62	9.015	4.437	4.467	7.395	13.957
13_Jan	13_Jan_SF_Bin63	1.372	4.656	3.379	2.75	6.681
