MAG	GTDB	37mark	CheckM_Comp	CheckM_Cont	GenomeSize_MB	Abundance_CoverM
8_1_May_SF_Bin13	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__Kariarchaeaceae;g__;s__	Heimdallarchaeota	72.74	9	3.732	0.035
8_1_Jan_SF_Bin58	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__Kariarchaeaceae;g__LC-2;s__	Heimdallarchaeota	92.52	4.52	4.386	0.022
4_1_July_SF_Bin37	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	Thorarchaeota	91.88	4.21	3.043	0.040
8_1_Jan_SF_Bin79	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	Hadesarchaea	80.8	4	1.061	0.024
8_1_Oct_SF_Bin37	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__DG-33;s__	Hadesarchaea	84.8	4.04	1.163	0.026
13_Jan_SF_Bin36	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01;s__	Pacearchaeota	58.8	3.74	0.588	0.027
4_1_July_SF_Bin26	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__DTMW01;g__DTMW01;s__	Thermoplasmata	83.9	1.6	1.452	0.031
13_Jan_SF_Bin61	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__UBA10834;s__	Thermoplasmata	98.4	2.8	1.932	0.040
8_1_Oct_SF_Bin93	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__;g__;s__	Bathyarchaeota	89.32	9.21	1.697	0.042
8_1_Jan_SF_Bin81	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__B26-1;g__;s__	Bathyarchaeota	74.8	8.55	2.672	0.023
8_1_Oct_SF_Bin36	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__B26-1;g__;s__	Bathyarchaeota	82.87	7.14	3.298	0.027
8_1_Oct_SF_Bin87	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__B26-1;g__PIYB01;s__	Bathyarchaeota	60.6	3.16	1.252	0.025
8_1_Jan_SF_Bin48	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__	Bathyarchaeota	91.28	3.97	2.225	0.028
8_1_Jan_SF_Bin52	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__	Bathyarchaeota	85.21	9.35	1.759	0.031
8_1_Jan_SF_Bin74	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__	Bathyarchaeota	89.72	7.01	1.554	0.078
8_1_July_SF_Bin33	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__	Bathyarchaeota	70.39	2.91	0.841	0.060
8_1_Oct_SF_Bin29	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__	Bathyarchaeota	88.79	8.41	2.121	0.028
8_1_Oct_SF_Bin35	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__	Bathyarchaeota	78.04	4.67	1.477	0.073
8_1_Oct_SF_Bin81	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__;s__	Bathyarchaeota	65.73	8.41	1.788	0.028
8_1_Oct_SF_Bin41	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__BIN-L-1;s__	Bathyarchaeota	57.48	6.65	1.362	0.063
4_1_July_SF_Bin41	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__Kmv02;s__	Bathyarchaeota	52.69	1.25	0.637	0.100
8_1_Jan_SF_Bin55	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__Kmv02;s__	Bathyarchaeota	70.25	6.53	1.701	0.107
8_1_Jan_SF_Bin71	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__Kmv02;s__	Bathyarchaeota	76.64	5.61	1.267	0.120
8_1_July_SF_Bin73	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__Kmv02;s__	Bathyarchaeota	80.96	6.85	1.372	0.125
8_1_May_SF_Bin8	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__Kmv02;s__	Bathyarchaeota	87.47	7.79	1.556	0.137
8_1_Oct_SF_Bin52	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__Kmv02;s__	Bathyarchaeota	79.29	4.85	1.279	0.122
8_1_Oct_SF_Bin53	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__Kmv02;s__	Bathyarchaeota	68.22	7.55	1.57	0.106
8_1_Jan_SF_Bin101	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__SOJZ01;s__	Bathyarchaeota	77.67	5.49	2.032	0.058
8_1_Oct_SF_Bin103	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__BA1;g__SOJZ01;s__	Bathyarchaeota	72.59	5.99	1.284	0.053
8_1_Jan_SF_Bin46	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__SOJC01;g__;s__	Bathyarchaeota	94.39	5.14	1.729	0.032
8_1_July_SF_Bin42	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__SOJC01;g__;s__	Bathyarchaeota	91.12	4.67	1.585	0.029
8_1_Oct_SF_Bin100	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__SOJC01;g__;s__	Bathyarchaeota	52.46	6.37	0.661	0.030
8_1_Jan_SF_Bin32	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Bathyarchaeota	91.59	8.41	2.293	0.081
8_1_Jan_SF_Bin50	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Bathyarchaeota	58.1	1.87	0.915	0.034
8_1_Jan_SF_Bin96	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Bathyarchaeota	100	3.74	2.203	0.021
8_1_Oct_SF_Bin62	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Bathyarchaeota	92.92	5.92	2.143	0.067
8_1_Oct_SF_Bin71	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Bathyarchaeota	75.23	5.14	1.232	0.041
8_1_Oct_SF_Bin85	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Bathyarchaeota	62.22	9.18	1.217	0.124
8_1_Oct_SF_Bin96	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	Bathyarchaeota	95.9	2.88	1.976	0.018
8_1_Oct_SF_Bin80	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__RBG-16-48-13;f__;g__;s__	Bathyarchaeota	70.87	6.54	1.629	0.030
8_1_Jan_SF_Bin12	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	Bathyarchaeota	67.4	8.25	2.049	0.069
8_1_Oct_SF_Bin84	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	Bathyarchaeota	76.1	7.48	2.066	0.078
8_1_Jan_SF_Bin36	d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__;g__;s__	Aigarchaeota	81.72	5.41	1.592	0.026
8_1_Oct_SF_Bin33	d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__;g__;s__	Aigarchaeota	82.69	6.8	1.59	0.028
13_July_SF_Bin39	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__JACEMX01;s__	Thaumarchaeota; Nitrosopumilus	94.17	2.91	1.582	0.048
13_May_SF_Bin54	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__JACEMX01;s__	Thaumarchaeota; Nitrosopumilus	95.15	1.46	1.763	0.054
